node_id,first_seen_in_folder,image_file
N0001,101,N0001.webp
N0002,101,N0002.webp
N0003,101,N0003.webp
N0004,101,N0004.webp
N0005,101,N0005.webp
N0006,101,N0006.webp
N0007,101,N0007.webp
N0008,101,N0008.webp
N0009,101,N0009.webp
N0010,101,N0010.webp
N0011,101,N0011.webp
N0012,101,N0012.webp
N0013,101,N0013.webp
N0014,101,N0014.webp
N0015,101,N0015.webp
N0016,102,N0016.webp
N0017,103,N0017.webp
N0018,104,N0018.webp
N0019,105,N0019.webp
N0020,106,N0020.webp
N0021,106,N0021.webp
N0022,107,N0022.webp
N0023,108,N0023.webp
N0024,110,N0024.webp
N0025,CASHIER,N0025.webp
N0026,CLINIC,N0026.webp
N0027,COMFORT ROOM,N0027.webp
N0028,COMFORT ROOM,N0028.webp
N0029,COMFORT ROOM,N0029.webp
N0030,DEANS OFFICE,N0030.webp
N0031,FACULTY,N0031.webp
N0032,GUIDANCE OFFICE,N0032.webp
N0033,PROPERTY CUSTODIAN,N0033.webp
N0034,PROPERTY CUSTODIAN,N0034.webp
N0035,SCHOLARSHIP OFFICE,N0035.webp
N0036,SLAB 1,N0036.webp
N0037,SLAB 3,N0037.webp
N0038,STUDENT AFFAIRS OFFICE,N0038.webp
N0039,201,N0039.webp
N0040,201,N0040.webp
N0041,201,N0041.webp
N0042,201,N0042.webp
N0043,201,N0043.webp
N0044,201,N0044.webp
N0045,201,N0045.webp
N0046,201,N0046.webp
N0047,201,N0047.webp
N0048,201,N0048.webp
N0049,201,N0049.webp
N0050,201,N0050.webp
N0051,201,N0051.webp
N0052,202,N0052.webp
N0053,203,N0053.webp
N0054,204,N0054.webp
N0055,205,N0055.webp
N0056,206,N0056.webp
N0057,207,N0057.webp
N0058,208,N0058.webp
N0059,209,N0059.webp
N0060,210,N0060.webp
N0061,211,N0061.webp
N0062,211,N0062.webp
N0063,211,N0063.webp
N0064,211,N0064.webp
N0065,214,N0065.webp
N0066,214,N0066.webp
N0067,214,N0067.webp
N0068,215,N0068.webp
N0069,COMFORT ROOM,N0069.webp
N0070,COMFORT ROOM,N0070.webp
N0071,COMFORT ROOM,N0071.webp
N0072,COMFORT ROOM,N0072.webp
N0073,COMFORT ROOM,N0073.webp
N0074,COMFORT ROOM,N0074.webp
N0075,LIBRARY,N0075.webp
N0076,TECHNICAL OFFICE,N0076.webp
N0077,301,N0077.webp
N0078,301,N0078.webp
N0079,301,N0079.webp
N0080,301,N0080.webp
N0081,301,N0081.webp
N0082,301,N0082.webp
N0083,301,N0083.webp
N0084,301,N0084.webp
N0085,301,N0085.webp
N0086,301,N0086.webp
N0087,301,N0087.webp
N0088,301,N0088.webp
N0089,302,N0089.webp
N0090,302,N0090.webp
N0091,302,N0091.webp
N0092,302,N0092.webp
N0093,302,N0093.webp
N0094,302,N0094.webp
N0095,302,N0095.webp
N0096,302,N0096.webp
N0097,302,N0097.webp
N0098,302,N0098.webp
N0099,AUDITORIUM,N0099.webp
N0100,AUDITORIUM,N0100.webp
N0101,AUDITORIUM,N0101.webp
N0102,KITCHEN LAB,N0102.webp
N0103,KITCHEN LAB,N0103.webp
N0104,KITCHEN LAB,N0104.webp
N0105,KITCHEN LAB,N0105.webp
N0106,KITCHEN LAB,N0106.webp
N0107,KITCHEN LAB,N0107.webp
N0108,KITCHEN LAB,N0108.webp
N0109,KITCHEN LAB,N0109.webp
N0110,KITCHEN LAB,N0110.webp
N0111,KITCHEN LAB,N0111.webp
N0112,KITCHEN LAB,N0112.webp
N0113,LINUX,N0113.webp
N0114,LINUX,N0114.webp
N0115,LINUX,N0115.webp
